WorkerID,Laterality
TA5,Right
TA7,Right
TA8,Right
TA10,Right
TA11,Right
TA12,Right
TA13,Left
TA14,Right
TA38,Right
TA26,Right
TA17,Right
TA20,Right
TA21,Left
TA24,Right
TA27,Right
TA28,Right
TA29,Right
TA30,Right
TA32,Right
TA33,Right
TA34,Right
TA40,Right
TA41,Right
TA44,Right
TA45,Right
TA46,Right
TA51,Right
TA52,Right
TA53,Right
TA54,Right
TA56,Right
TA57,Right
TA58,Right
TA63,Right
TA64,Right
TA66,Left
TA69,Right
TA73,Right
TA80,Right
TA83,Right
OA4,Left
OA5,Right
OA6,Right
OA7,Right
OA12,Right
OA14,Right
OA18,Left
OA19,Left
OA36,Right
OA22,Right
OA23,Right
OA25,Right
OA27,Left
OA28,Left
OA31,Right
OA33,Left
OA37,Right
OA38,Right
OA40,Right
OA44,Right
OA45,Left
OA48,Left
OA50,Left
OA53,Right
OA54,Left
OA56,Left
OA57,Left
OA58,Left
OA61,Right
OA65,Right
OA66,Left
OA67,Left
OA69,Right
TC1,Right
TC2,Right
TC3,Right
TC4,Left
TC6,Right
TC7,Right
TC8,Right
TC9,Right
TC11,Right
TC12,Left
TC15,Right
TC16,Right
TC17,Right
TC20,Right
TC21,Right
TC22,Right
TC23,Right
TC24,Right
TC26,Right
TC29,Right
TC30,Right
TC31,Right
TC32,Left
TC35,Right
TC37,Right
TC43,Right
TC44,Right
TC46,Right
TC48,Right
TC49,Right
TC61,Ambidextrous
TC52,Right
TC53,Right
TC54,Right
TC55,Right
TC56,Right
TC59,Right
TC62,Right
TC64,Right
TC65,Right
TC66,Right
TC68,Right
TC70,Right
TC71,Right
TC72,Right
OC1,Right
OC3,Right
OC4,Right
OC5,Right
OC8,Right
OC13,Left
OC14,Right
OC15,Right
OC16,Left
OC17,Right
OC18,Right
OC19,Left
OC20,Right
OC21,Right
OC22,Left
OC26,Left
OC27,Right
OC28,Right
OC29,Left
OC30,Left
OC32,Left
OC34,Right
OC37,Right
OC38,Left
OC40,Right
